Image Name, Color of Shape, Color of Letter, Shape, Letter, Shape Rotation, X1, X2, Y1, Y2, Altitude
render%0.jpg, red, white, Heptagon, L, 0.19466610252857208, 0.22266610252857208, 0.23843564748764037, 0.2784356474876404, 228.9869580814112, 119.01148577883882
render%0.jpg, gray, purple, Star, G, 0.5298821330070496, 0.5578821330070496, 0.4850828862190247, 0.5250828862190247, 160.19532988903123, 119.01148577883882
render%0.jpg, blue, gray, Triangle, F, 0.6484358906745911, 0.6764358906745911, 0.36274399518966677, 0.40274399518966675, 144.2601200004887, 119.01148577883882
render%0.jpg, blue, yellow, Triangle, R, 0.29799142479896545, 0.3259914247989655, 0.2808127319812775, 0.32081273198127747, 324.35303426943574, 119.01148577883882
render%1.jpg, white, green, Star, E, 0.7770439982414246, 0.8050439982414246, 0.19786836862564086, 0.23786836862564087, 283.30879102436097, 106.4540994606724
render%1.jpg, blue, green, Heptagon, W, 0.42150571942329407, 0.4495057194232941, 0.5415949440002441, 0.5815949440002441, 328.89093977447254, 106.4540994606724
render%2.jpg, green, orange, Heptagon, Z, 0.16158804297447205, 0.18958804297447204, 0.3466196870803833, 0.3866196870803833, 198.0773500243797, 109.65618118482422
render%3.jpg, white, red, Semi_Circle, N, 0.5246803760528564, 0.5526803760528565, 0.21308093428611755, 0.25308093428611755, 5.188950104715837, 112.52801283470208
render%4.jpg, brown, purple, Square, I, 0.5599428415298462, 0.5879428415298462, 0.5068060374259948, 0.5468060374259949, 300.98736294337994, 114.99200837294707
render%4.jpg, blue, orange, Semi_Circle, L, 0.1853317767381668, 0.2133317767381668, 0.7794692134857177, 0.8194692134857178, 145.89647332867793, 114.99200837294707
render%4.jpg, green, gray, Semi_Circle, X, 0.35182854533195496, 0.379828545331955, 0.5116731739044189, 0.551673173904419, 207.85337916615728, 114.99200837294707
render%5.jpg, brown, white, Square, E, 0.8703399300575256, 0.8983399300575257, 0.16062686502933501, 0.20062686502933502, 285.4181146757449, 85.27201955833465
render%6.jpg, yellow, orange, Semi_Circle, U, 0.36129727959632874, 0.38929727959632876, 0.7491724109649658, 0.7891724109649658, 236.8838555641508, 109.429364634902
